operation_type,action
Account_Added,created
Resource_Added,created
Resource_Group_Added,created
Password_Retrieved,read
Read_and_Modify_Share_Given,modified
Resource_Modified,modified
Resource_Group_Modified,modified
Resource_Group_User_Group_Share_Changed,modified
Resource_Deleted,deleted
Account_Deleted,deleted
User_Logged_out,deleted
User_Logged_in,created
Audit_Configuration_Modified,modified
NA,acl_modified
Password_Verify_Failed,unknown
User_Authentication_Failed,unknown
