operation_type,object_category
Account_Added,object
Resource_Added,object
Resource_Group_Added,group
Password_Retrieved,object
Read_and_Modify_Share_Given,directory
Resource_Modified,object
Resource_Group_Modified,group
Resource_Group_User_Group_Share_Changed,directory
Resource_Deleted,object
Account_Deleted,object
User_Logged_out,user
User_Logged_in,user
User_Authentication_Failed,user
Audit_Configuration_Modified,object
Password_Verify_Failed,object
