first_seen,mac_address
1510048913,"10:93:e9:5e:97:66"
1510048646,"a4:5e:60:eb:31:a5"
1510056129,"c4:b3:01:cb:34:83"
1510059487,"f4:5c:89:8e:d6:c5"
1510066970,"6c:40:08:bf:2c:34"
1510071580,"34-17-EB-8B-F5-8D"
1510088275,"98:01:a7:9c:3f:f5"
1510127845,"00:50:56:30:59:a5"
1510142576,"dc:a9:04:96:b6:73"
1510153029,"80:e6:50:25:82:56"
1510171310,"60:03:08:9e:b5:46"
1510664588,"6c:40:08:b9:51:00"
1510668169,"98:01:a7:a4:4a:2f"
1510714701,"78:ca:39:b0:a2:35"
