"_raw",host,index,source,sourcetype
"Sep 20 21:24:37 1.2.246.136 2016-09-20T21:52:07 isistl-1(id1) audit_protocol[5511]: S-1-22-1-0|5|1.2.229.183|DELETE|SUCCESS|FILE|/ifs/ASC/Archived_VMs/.iorm.sf/.lck-411c580501000000","1.2.246.136",isilon,"udp:514","emc:isilon:syslog"
"Sep 20 21:24:37 1.2.246.136 2016-09-20T21:52:07 isistl-1(id1) audit_protocol[5511]: S-1-22-1-0|5|1.2.229.183|CLOSE|SUCCESS|FILE|0:0|0:0|/ifs/ASC/Archived_VMs/.iorm.sf/access","1.2.246.136",isilon,"udp:514","emc:isilon:syslog"
"Sep 20 21:24:37 1.2.246.136 2016-09-20T21:52:07 isistl-1(id1) audit_protocol[5511]: S-1-22-1-0|5|1.2.229.183|DELETE|SUCCESS|FILE|/ifs/ASC/Archived_VMs/.iorm.sf/access","1.2.246.136",isilon,"udp:514","emc:isilon:syslog"
"Sep 20 21:24:37 1.2.246.136 2016-09-20T21:52:07 isistl-1(id1) audit_protocol[5511]: S-1-22-1-0|5|1.2.229.183|WRITE|SUCCESS|FILE|/ifs/ASC/Archived_VMs/.iorm.sf/.lck-411c580501000000","1.2.246.136",isilon,"udp:514","emc:isilon:syslog"
"Sep 20 21:24:37 1.2.246.136 2016-09-20T21:52:07 isistl-1(id1) audit_protocol[5511]: S-1-22-1-0|5|1.2.229.183|CLOSE|SUCCESS|FILE|0:0|0:0|/ifs/ASC/Archived_VMs/.iorm.sf/.lck-411c580501000000","1.2.246.136",isilon,"udp:514","emc:isilon:syslog"
"Sep 20 21:24:37 1.2.246.136 2016-09-20T21:52:07 isistl-1(id1) audit_protocol[5511]: S-1-22-1-0|5|1.2.229.183|OPEN|SUCCESS|2|FILE|OPENED|/ifs/ASC/Archived_VMs/.iorm.sf/.lck-411c580501000000","1.2.246.136",isilon,"udp:514","emc:isilon:syslog"
"Sep 20 21:24:37 1.2.246.136 2016-09-20T21:52:07 isistl-1(id1) audit_protocol[5511]: S-1-22-1-0|5|1.2.229.183|OPEN|SUCCESS|262272|FILE|CREATED|/ifs/ASC/Archived_VMs/.iorm.sf/.lck-411c580501000000","1.2.246.136",isilon,"udp:514","emc:isilon:syslog"
"Sep 20 21:24:37 1.2.246.136 2016-09-20T21:52:07 isistl-1(id1) audit_protocol[5511]: S-1-22-1-0|5|1.2.229.183|CLOSE|SUCCESS|FILE|0:0|0:0|/ifs/ASC/Archived_VMs/.iorm.sf/access","1.2.246.136",isilon,"udp:514","emc:isilon:syslog"
"Sep 20 21:24:37 1.2.246.136 2016-09-20T21:52:07 isistl-1(id1) audit_protocol[5511]: S-1-22-1-0|5|1.2.229.183|OPEN|SUCCESS|0|FILE|OPENED|/ifs/ASC/Archived_VMs/.iorm.sf/access","1.2.246.136",isilon,"udp:514","emc:isilon:syslog"
"Sep 20 21:24:37 1.2.246.136 2016-09-20T21:52:07 isistl-1(id1) audit_protocol[5511]: S-1-22-1-0|5|1.2.229.183|OPEN|SUCCESS|262272|FILE|CREATED|/ifs/ASC/Archived_VMs/.iorm.sf/access","1.2.246.136",isilon,"udp:514","emc:isilon:syslog"
"Sep 20 21:24:37 1.2.246.131 2016-09-20T21:52:06 isistl-2(id2) audit_protocol[5441]: S-1-22-1-0|5|1.2.229.223|DELETE|SUCCESS|FILE|/ifs/ASC/Archived_VMs/.iorm.sf/.lck-f8ac400501000000","1.2.246.131",isilon,"udp:514","emc:isilon:syslog"
"Sep 20 21:24:37 1.2.246.131 2016-09-20T21:52:06 isistl-2(id2) audit_protocol[5441]: S-1-22-1-0|5|1.2.229.223|CLOSE|SUCCESS|FILE|0:0|0:0|/ifs/ASC/Archived_VMs/.iorm.sf/access","1.2.246.131",isilon,"udp:514","emc:isilon:syslog"
"Sep 20 21:24:37 1.2.246.131 2016-09-20T21:52:06 isistl-2(id2) audit_protocol[5441]: S-1-22-1-0|5|1.2.229.223|DELETE|SUCCESS|FILE|/ifs/ASC/Archived_VMs/.iorm.sf/access","1.2.246.131",isilon,"udp:514","emc:isilon:syslog"
"Sep 20 21:24:37 1.2.246.131 2016-09-20T21:52:06 isistl-2(id2) audit_protocol[5441]: S-1-22-1-0|5|1.2.229.223|WRITE|SUCCESS|FILE|/ifs/ASC/Archived_VMs/.iorm.sf/.lck-f8ac400501000000","1.2.246.131",isilon,"udp:514","emc:isilon:syslog"
"Sep 20 21:24:37 1.2.246.131 2016-09-20T21:52:06 isistl-2(id2) audit_protocol[5441]: S-1-22-1-0|5|1.2.229.223|CLOSE|SUCCESS|FILE|0:0|0:0|/ifs/ASC/Archived_VMs/.iorm.sf/.lck-f8ac400501000000","1.2.246.131",isilon,"udp:514","emc:isilon:syslog"
"Sep 20 21:24:37 1.2.246.131 2016-09-20T21:52:06 isistl-2(id2) audit_protocol[5441]: S-1-22-1-0|5|1.2.229.223|OPEN|SUCCESS|2|FILE|OPENED|/ifs/ASC/Archived_VMs/.iorm.sf/.lck-f8ac400501000000","1.2.246.131",isilon,"udp:514","emc:isilon:syslog"
