app,count,percent
"gettingstarted
search
sideview_utils
sos
splunk_datapreview
splunk_deployment_monitor",163,"0.075855"
"ldapsearch
Splunk_TA_windows
Splunk_for_ActiveDirectory
gettingstarted
search
sideview_utils
splunk_datapreview",161,"0.074924"
"gettingstarted
netflow
search
splunk_datapreview",161,"0.074924"
"gettingstarted
maps
search
splunk_datapreview
unix",154,"0.071666"
"SplunkDeploymentMonitor
gettingstarted
search
splunk_license_usage",153,"0.071201"
"SplunkDeploymentMonitor
gettingstarted
search
sideview_utils
sos
splunk_datapreview
unix",151,"0.070270"
"SPLUNK4JMX
SplunkDeploymentMonitor
LightForwarder
premise
search",150,"0.069805"
"MAXMIND
SplunkDeploymentMonitor
sos
gettingstarted
pdfserver
search
sideview_utils
sos
splunk_datapreview
splunk_license_usage
unix",150,"0.069805"
"Splunk_CiscoIPS
gettingstarted
search
splunk_datapreview",148,"0.068874"
"SplunkDeploymentMonitor
Splunk_CiscoFirewalls
gettingstarted
search
splunk_datapreview",148,"0.068874"
"gettingstarted
search
splunk_datapreview
splunk_license_usage",141,"0.065616"
"gettingstarted
pdfserver
search
splunk_datapreview",139,"0.064686"
"AccessProtection
EndpointProtection
NetworkProtection
MySQL
AccessProtection
AuditAndDataProtection
CommonInformationModel
EndpointProtection
Eventgen
IdentityManagement
NetworkProtection
ThreatIntelligence
Utils
SplunkDeploymentMonitor
SplunkEnterpriseSecuritySuite
Splunk_TA_windows
airdefense
alcatel
bluecoat
cef",138,"0.064220"
"ThreatIntelligence
Utils
gettingstarted
search
splunk_datapreview",136,"0.063290"
"SplunkDeploymentMonitor
SplunkforSendmailC3E
SplunkforSendmailSentrion
gettingstarted
pdfserver
search
splunk_datapreview",136,"0.063290"
"SPLUNK4JMX
SplunkDeploymentMonitor
LightForwarder
premise
search
splunk_datapreview",136,"0.063290"
"HierarchyInventory
LogEventTask
Performance
Imperva
Utils
HierarchyInventory
LogEventTask
Performance
Splunk_CiscoFirewalls
Splunk_CiscoIPS
Splunk_CiscoIronportEmailSecurity
Splunk_CiscoIronportWebSecurity
Splunk_CiscoSecuritySuite
Splunk_TA_vcenter
Splunk_TA_vmware
Splunk_for_Exchange
sos
avamar
maps
rsadlp",136,"0.063290"
"Explorer_Support
SplunkDeploymentMonitor
UserSimpleSearch
gettingstarted
search
splunk_license_usage",131,"0.060963"
"SplunkforSquid
gettingstarted
search
splunk_datapreview",129,"0.060032"
"Ministerie_van_BZ_Netwerk_Services_en_Security
Ministerie_van_BZ_System_Security
ldapsearch
SMT_Tooling_Beheer
Splunk_CiscoFirewalls
Splunk_CiscoIPS
Splunk_CiscoSecuritySuite
Splunk_TA_windows
Splunk_for_ActiveDirectory
SplunkforBlueCoat
SplunkforCitrixNetScaler
dashboard_examples
gettingstarted
maps
pdfserver
search
sideview_utils
sos
splunk_datapreview
splunk_deployment_monitor",129,"0.060032"
"SplunkDeploymentMonitor
gettingstarted
pdfserver
search",127,"0.059101"
"dashboard_examples
gettingstarted
search
splunk_datapreview",126,"0.058636"
"SplunkDeploymentMonitor
Splunk_CiscoFirewalls
Splunk_Fortigate
SplunkforPaloAltoNetworks
gettingstarted
pfsense
search
splunk_datapreview",125,"0.058171"
"Splunk_TA_nix
gettingstarted
globe
maps
search
splunk_datapreview
splx_monitor_dashboards
unix",120,"0.055844"
"MAXMIND
NMSSolr
PCI
ldapsearch
SEC
SplunkDeploymentMonitor
SplunkViz
Splunk_CiscoFirewalls
Splunk_CiscoSecuritySuite
Splunk_TA_windows
Splunk_for_ActiveDirectory
SplunkforF5
allegro_daemons_app
aukro_cz
biznes
gettingstarted
infigo_windows_soc
istore
maps
mobile",118,"0.054913"
"ldapsearch
Splunk_TA_windows
Splunk_for_ActiveDirectory
Splunk_for_Exchange
Splunk_for_Sharepoint
Splunk_on_SCOM
Reputation
SQLServer2008R2
gettingstarted
search
sideview_utils
splunk_datapreview",116,"0.053982"
"Requirement1
Requirement10
Requirement12
Requirement2
Requirement3
Requirement4
Requirement5
Requirement7
Requirement8
Requirement9
AccessProtection
AuditAndDataProtection
CommonInformationModel
EndpointProtection
Eventgen
IdentityManagement
NetworkProtection
ThreatIntelligence
Utils
SplunkPCIComplianceSuite",116,"0.053982"
"Splunk_TA_hadoopops
search",113,"0.052586"
"Common_ER
Enablers_AAA
Enablers_CS
Enablers_Common
Enablers_DeviceIntegration
Enablers_DeviceManagement
Enablers_ER
Enablers_ER_tmp
Enablers_Gateways
Enablers_KPIPI
Enablers_MDP
Enablers_MobileProtect
Enablers_Monthly_Weekly
Enablers_Nagios_Monitoring
Enablers_Reporting
Enablers_TEST
Firstline
Frontline_Charging
Gateways
Monitoring",111,"0.051656"
"gettingstarted
search
splunk_datapreview
splunk_license_usage
unix",109,"0.050725"
"cmdb
dashboard_examples
ecommerce
gettingstarted
kplanner
mainframe
old
search
splunk_datapreview
ui_examples
unix",109,"0.050725"
"SplunkForNagios
gettingstarted
search
splunk_datapreview",109,"0.050725"
"gettingstarted
search
sideview_utils
splunk_datapreview
unix
windows",108,"0.050259"
"MySQL
SplunkDeploymentMonitor
gettingstarted
search
sideview_utils
sos
splunk_datapreview",107,"0.049794"
"AdminSearch
SplunkDeploymentMonitor
UserSearch
gettingstarted
inputssplunkhttp
inputssplunkinfrastructure
pdfserver
propsahm
propsb2b
propsbusinessobjects
propsclearcommerce
propscmdbfoundation
propscmdblinux
propscmdbwinperf
propsdirectbanking
propsdocumentum
propseml
propshttp
propsiis
propsimcocustomeraccess",107,"0.049794"
