_raw,host,index,source,sourcetype,_time
"2019-06-14 02:51:56	apic_host=x.x.x.x	component=cloudApp	related_component=cloudZone	dn=uni/tn-infra/cloudapp-cloud-infra	lcOwn=local	modTs=2019-05-15T23:03:51.999+00:00	name=cloud-infra	uid=0	childAction=	dn=	related_Provp=aws	related_Zone=us-east-1b	related_Region=us-east-1	ctxDn=uni/clouddomp/provp-aws/region-us-east-1/zone-us-east-1b	ctxClass=cloudZone	status=","SPLUNK",main,"/opt/splunk/etc/apps/TA_cisco-ACI/bin/collect.py -cloud cloudZone cloudCtxProfile vzBrCP cloudRegion cloudExtEPg cloudEPg hcloudCsr hcloudEndPoint hcloudInstance vnsAbsGraph cloudLB fvTenant fvCtx cloudApp hcloudCtx","cisco:apic:cloud","2019-06-14T02:51:56.000-0700"
"2019-06-14 02:51:56	apic_host=x.x.x.x	component=cloudApp	related_component=vzBrCP	dn=uni/tn-infra/cloudapp-cloud-infra	lcOwn=local	modTs=2019-05-15T23:03:51.999+00:00	name=cloud-infra	uid=0	childAction=	dn=	related_Tenant=infra	related_Brc=allow-all	ctxDn=uni/tn-infra/brc-allow-all	ctxClass=vzBrCP	status=","SPLUNK",main,"/opt/splunk/etc/apps/TA_cisco-ACI/bin/collect.py -cloud cloudZone cloudCtxProfile vzBrCP cloudRegion cloudExtEPg cloudEPg hcloudCsr hcloudEndPoint hcloudInstance vnsAbsGraph cloudLB fvTenant fvCtx cloudApp hcloudCtx","cisco:apic:cloud","2019-06-14T02:51:56.000-0700"
"2019-06-14 02:51:56	apic_host=x.x.x.x	component=cloudApp	related_component=vzBrCP	dn=uni/tn-infra/cloudapp-cloud-infra	lcOwn=local	modTs=2019-05-15T23:03:51.999+00:00	name=cloud-infra	uid=0	childAction=	dn=	related_Tenant=infra	related_Brc=ssh-https	ctxDn=uni/tn-infra/brc-ssh-https	ctxClass=vzBrCP	status=","SPLUNK",main,"/opt/splunk/etc/apps/TA_cisco-ACI/bin/collect.py -cloud cloudZone cloudCtxProfile vzBrCP cloudRegion cloudExtEPg cloudEPg hcloudCsr hcloudEndPoint hcloudInstance vnsAbsGraph cloudLB fvTenant fvCtx cloudApp hcloudCtx","cisco:apic:cloud","2019-06-14T02:51:56.000-0700"
"2019-06-14 02:51:56	apic_host=x.x.x.x	component=cloudApp	related_component=vzBrCP	dn=uni/tn-infra/cloudapp-cloud-infra	lcOwn=local	modTs=2019-05-15T23:03:51.999+00:00	name=cloud-infra	uid=0	childAction=	dn=	related_Tenant=infra	related_Brc=netconf-ssh-ipsec-ipsecnat	ctxDn=uni/tn-infra/brc-netconf-ssh-ipsec-ipsecnat	ctxClass=vzBrCP	status=","SPLUNK",main,"/opt/splunk/etc/apps/TA_cisco-ACI/bin/collect.py -cloud cloudZone cloudCtxProfile vzBrCP cloudRegion cloudExtEPg cloudEPg hcloudCsr hcloudEndPoint hcloudInstance vnsAbsGraph cloudLB fvTenant fvCtx cloudApp hcloudCtx","cisco:apic:cloud","2019-06-14T02:51:56.000-0700"
"2019-06-14 02:51:56	apic_host=x.x.x.x	component=cloudApp	related_component=vzBrCP	dn=uni/tn-infra/cloudapp-cloud-infra	lcOwn=local	modTs=2019-05-15T23:03:51.999+00:00	name=cloud-infra	uid=0	childAction=	dn=	related_Tenant=infra	related_Brc=ipsec	ctxDn=uni/tn-infra/brc-ipsec	ctxClass=vzBrCP	status=","SPLUNK",main,"/opt/splunk/etc/apps/TA_cisco-ACI/bin/collect.py -cloud cloudZone cloudCtxProfile vzBrCP cloudRegion cloudExtEPg cloudEPg hcloudCsr hcloudEndPoint hcloudInstance vnsAbsGraph cloudLB fvTenant fvCtx cloudApp hcloudCtx","cisco:apic:cloud","2019-06-14T02:51:56.000-0700"
"2019-06-14 02:51:56	apic_host=x.x.x.x	component=cloudApp	related_component=hcloudEndPoint	dn=uni/tn-infra/cloudapp-cloud-infra	lcOwn=local	modTs=2019-05-15T23:03:51.999+00:00	name=cloud-infra	uid=0	childAction=	dn=	related_Region=us-east-1	related_Subnet=x.x.x.x/x	related_Tenant=infra	related_Ep=eni-000c945abaeb1978c	related_Context=overlay-1]-addr	related_Cidr=x.x.x.x/x	ctxDn=acct-[infra]/region-[us-east-1]/context-[overlay-1]-addr-[x.x.x.x/x]/cidr-[x.x.x.x/x]/subnet-[x.x.x.x/x]/ep-[eni-000c945abaeb1978c]	ctxClass=hcloudEndPoint	status=","SPLUNK",main,"/opt/splunk/etc/apps/TA_cisco-ACI/bin/collect.py -cloud cloudZone cloudCtxProfile vzBrCP cloudRegion cloudExtEPg cloudEPg hcloudCsr hcloudEndPoint hcloudInstance vnsAbsGraph cloudLB fvTenant fvCtx cloudApp hcloudCtx","cisco:apic:cloud","2019-06-14T02:51:56.000-0700"
"2019-06-14 02:51:56	apic_host=x.x.x.x	component=cloudApp	related_component=hcloudEndPoint	dn=uni/tn-infra/cloudapp-cloud-infra	lcOwn=local	modTs=2019-05-15T23:03:51.999+00:00	name=cloud-infra	uid=0	childAction=	dn=	related_Region=us-east-1	related_Subnet=x.x.x.x/x	related_Tenant=infra	related_Ep=eni-064bfe4cfbbad198a	related_Context=overlay-1]-addr	related_Cidr=x.x.x.x/x	ctxDn=acct-[infra]/region-[us-east-1]/context-[overlay-1]-addr-[x.x.x.x/x]/cidr-[x.x.x.x/x]/subnet-[x.x.x.x/x]/ep-[eni-064bfe4cfbbad198a]	ctxClass=hcloudEndPoint	status=","SPLUNK",main,"/opt/splunk/etc/apps/TA_cisco-ACI/bin/collect.py -cloud cloudZone cloudCtxProfile vzBrCP cloudRegion cloudExtEPg cloudEPg hcloudCsr hcloudEndPoint hcloudInstance vnsAbsGraph cloudLB fvTenant fvCtx cloudApp hcloudCtx","cisco:apic:cloud","2019-06-14T02:51:56.000-0700"
"2019-06-14 02:51:56	apic_host=x.x.x.x	component=cloudApp	related_component=hcloudEndPoint	dn=uni/tn-infra/cloudapp-cloud-infra	lcOwn=local	modTs=2019-05-15T23:03:51.999+00:00	name=cloud-infra	uid=0	childAction=	dn=	related_Region=us-east-1	related_Subnet=x.x.x.x/x	related_Tenant=infra	related_Ep=eni-074e75fa4861b548a	related_Context=overlay-1]-addr	related_Cidr=x.x.x.x/x	ctxDn=acct-[infra]/region-[us-east-1]/context-[overlay-1]-addr-[x.x.x.x/x]/cidr-[x.x.x.x/x]/subnet-[x.x.x.x/x]/ep-[eni-074e75fa4861b548a]	ctxClass=hcloudEndPoint	status=","SPLUNK",main,"/opt/splunk/etc/apps/TA_cisco-ACI/bin/collect.py -cloud cloudZone cloudCtxProfile vzBrCP cloudRegion cloudExtEPg cloudEPg hcloudCsr hcloudEndPoint hcloudInstance vnsAbsGraph cloudLB fvTenant fvCtx cloudApp hcloudCtx","cisco:apic:cloud","2019-06-14T02:51:56.000-0700"
"2019-06-14 02:51:56	apic_host=x.x.x.x	component=cloudApp	related_component=hcloudEndPoint	dn=uni/tn-infra/cloudapp-cloud-infra	lcOwn=local	modTs=2019-05-15T23:03:51.999+00:00	name=cloud-infra	uid=0	childAction=	dn=	related_Region=us-east-1	related_Subnet=x.x.x.x/x	related_Tenant=infra	related_Ep=eni-033a7e61e24a8639e	related_Context=overlay-1]-addr	related_Cidr=x.x.x.x/x	ctxDn=acct-[infra]/region-[us-east-1]/context-[overlay-1]-addr-[x.x.x.x/x]/cidr-[x.x.x.x/x]/subnet-[x.x.x.x/x]/ep-[eni-033a7e61e24a8639e]	ctxClass=hcloudEndPoint	status=","SPLUNK",main,"/opt/splunk/etc/apps/TA_cisco-ACI/bin/collect.py -cloud cloudZone cloudCtxProfile vzBrCP cloudRegion cloudExtEPg cloudEPg hcloudCsr hcloudEndPoint hcloudInstance vnsAbsGraph cloudLB fvTenant fvCtx cloudApp hcloudCtx","cisco:apic:cloud","2019-06-14T02:51:56.000-0700"
"2019-06-14 02:51:56	apic_host=x.x.x.x	component=cloudApp	related_component=hcloudEndPoint	dn=uni/tn-infra/cloudapp-cloud-infra	lcOwn=local	modTs=2019-05-15T23:03:51.999+00:00	name=cloud-infra	uid=0	childAction=	dn=	related_Region=us-east-1	related_Subnet=x.x.x.x/x	related_Tenant=infra	related_Ep=eni-0f332644bcf2d9bd0	related_Context=overlay-1]-addr	related_Cidr=x.x.x.x/x	ctxDn=acct-[infra]/region-[us-east-1]/context-[overlay-1]-addr-[x.x.x.x/x]/cidr-[x.x.x.x/x]/subnet-[x.x.x.x/x]/ep-[eni-0f332644bcf2d9bd0]	ctxClass=hcloudEndPoint	status=","SPLUNK",main,"/opt/splunk/etc/apps/TA_cisco-ACI/bin/collect.py -cloud cloudZone cloudCtxProfile vzBrCP cloudRegion cloudExtEPg cloudEPg hcloudCsr hcloudEndPoint hcloudInstance vnsAbsGraph cloudLB fvTenant fvCtx cloudApp hcloudCtx","cisco:apic:cloud","2019-06-14T02:51:56.000-0700"
