x_webcat_code_abbr,webcat_code_full,usage,severity
Phot,Photo Searches,Personal,unknown
plag,Cheating and Plagiarism,Personal,unknown
pnet,Professional networking,unknown,unknown
Poli,Politics,Personal,unknown
pol,Politics,unknown,unknown
porn,Porn,Personal,informational
prnm,Paranormal,unknown,unknown
Prox,Proxies & Translators,Personal,high
pvpn,Personal VPN,unknown,unknown
Real,Real Estate,Personal,unknown
ref,Reference,Business,unknown
Refe,Reference,Business,unknown
rel,Religion,unknown,unknown
Reli,Religion,Personal,unknown
rest,Real Estate,Personal,unknown
Ring,Ringtones/Mobile Phone Downloads,Personal,informational
saas,SaaS and B2B,unknown,unknown
sci,Science and Technology,Business,unknown
scty,Society and Culture,Personal,unknown
Sear,Search Engines,Borderline,unknown
Sex,Sex Education,Personal,unknown
Shop,Shopping,Personal,unknown
shop,Shopping,Personal,unknown
snet,Social Networking,Personal,medium
Soci,Society & Culture,Personal,unknown
socs,Social Science,Personal,unknown
Spor,Sports,Personal,unknown
sprt,Sports and Recreation,Personal,unknown
srch,Search Engines and Portals,Borderline,unknown
Stre,Streaming Media,Personal,unknown
Susp,Suspect/Threat URLs,Personal,critical
swup,Software Updates,Borderline,medium
sxed,Sex Ed and Abortion,Personal,unknown
Tast,Tasteless & Offensive,Personal,informational
tat,Tattoos,Personal,unknown
tob,Tobacco,unknown,unknown
trad,Online Trading,Personal,unknown
tran,Web Page Translation,Personal,high
Trav,Travel,Borderline,unknown
trns,Transportation,Personal,unknown
trvl,Travel,Borderline,unknown
vid,Streaming video,unknown,unknown
Viol,Violence,Violation,informational
viol,Violence,Violation,informational
voip,Internet Telephony,Personal,medium
Weap,Weapons,Personal,informational
weap,Weapons,Personal,informational
Web-,Web-based E-mail,Borderline,medium
whst,Web Hosting,Personal,medium
